N,39,,,*,1,1,AND,0,12,18.8,+,31,3,39,14.2,13.5,0.7,13.5,1.1,1,120,Sc,852,"UGC 114","MCG 5-1-52","CGCG 499-76","IRAS 00096+3046",,,,,,,
N,40,,,*,3,1,CEP,0,13,1,+,72,31,21,10.7,12.3,,,1.23,,,PN,,"PK 120+9.1",CS=10.6,,,,,,,,,
N,41,,,*,1,1,PEG,0,12,48,+,22,1,26,14.4,13.7,0.7,12.6,0.8,0.5,123,Sc,865,"MCG 4-1-39","CGCG 478-42","KUG 0010+217","IRAS 00101+2144",,,,,,,
N,42,,,*,1,1,PEG,0,12,56.3,+,22,6,3,14.8,13.8,1,13.2,1.1,0.6,115,E-S0,867,"UGC 118","MCG 4-1-41","CGCG 478-43","NPM1G +21.0007",,,,,,,
N,43,,,*,1,1,AND,0,13,0.9,+,30,54,56,13.6,12.6,1,13.4,1.6,1.5,15,SB0,875,"UGC 120","MCG 5-1-54","CGCG 499-79",,,,,,,,
N,44,,,*,9,1,AND,0,13,13.4,+,31,17,12,,,,,,,,*2,,,,,,,,,,,,
N,45,,,*,1,1,CET,0,14,4,-,23,10,53,11.3,10.6,0.7,14.7,8.5,5.9,142,SBd,930,"ESO 473-1","MCG -4-1-21","UGCA 4","IRAS 00115-2327","DDO 223","AM 0011-232",,,,,
N,46,,,*,9,1,PSC,0,14,10,+,5,59,14,11.7,,,,,,,*,,,,,,,,,,,,
N,47,,,*,1,1,CET,0,14,30.5,-,7,10,4,13.9,13.1,0.8,14.7,2.3,2.1,81,SBbc,967,"NGC 58","MCG -1-1-55","IRAS 00119-0726",,,,,,,,
N,48,,,*,1,1,AND,0,14,2.1,+,48,14,6,14.4,13.6,0.8,13.7,1.6,1,15,SBbc,929,"UGC 133","MCG 8-1-31","CGCG 549-27","IRAS 00113+4757",,,,,,,
N,49,,,*,1,1,AND,0,14,22.4,+,48,14,50,14.7,13.7,1,13.4,1.1,1,165,S0,952,"UGC 136","MCG 8-1-33","CGCG 549-29","NPM1G +47.0008",,,,,,,
N,50,,,*,1,1,CET,0,14,44.6,-,7,20,42,13.3,12.3,1,14,2.4,1.8,170,E-S0,983,"MCG -1-1-58",,,,,,,,,,
N,51,,,*,1,1,AND,0,14,34.8,+,48,15,22,14.1,13.1,1,13.3,1.3,1,20,S0,974,"UGC 138","MCG 8-1-35","CGCG 549-31","NPM1G +47.0009",,,,,,,
N,52,,,*,1,1,PEG,0,14,40,+,18,34,54,14.1,13.4,0.7,13.1,2.2,0.4,127,Sc,978,"UGC 140","MCG 3-1-30","CGCG 456-42","IRAS 00120+1818",,,,,,,
N,53,,,*,1,1,TUC,0,14,43,-,60,19,43,13.3,12.6,0.7,13.6,2,1.4,172,SBb,982,"ESO 111-20","FAIR 3","AM 0012-603",,,,,,,,
N,54,,,*,1,1,CET,0,15,7.6,-,7,6,24,14.3,13.4,0.9,12.4,1.3,0.5,93,Sa,1011,"MCG -1-1-60",,,,,,,,,,
N,55,,,*,1,1,SCL,0,15,8,-,39,13,10,8.4,7.9,0.5,13.4,31.2,5.9,108,SBm,1014,"ESO 293-50","MCG -7-1-13",,,,,,,,,
N,56,,,*,10,,PSC,0,15,20.6,+,12,26,40,,,,,,,,NF,,,,,,,,,,,,
N,57,,,*,1,1,PSC,0,15,30.9,+,17,19,45,12.7,11.6,1.1,13.1,2.2,1.9,40,E1,1037,"UGC 145","MCG 3-1-31","CGCG 456-46",,,,,,,,
N,58,,,*,7,1,CET,0,14,30.5,-,7,10,4,13.9,13.1,0.8,14.7,2.3,2.1,81,SBbc,967,"NGC 47","MCG -1-1-55","IRAS 00119-0726",,,,,,,,
N,59,,,*,1,1,CET,0,15,25.3,-,21,26,41,13.1,12.4,0.7,13.6,2.6,1.3,127,E-S0,1034,"ESO 539-4","MCG -4-1-26","KDWG 2",,,,,,,,
N,60,,,*,1,1,PSC,0,15,58.2,-,0,18,13,14.8,14.1,0.7,14.3,1.3,1.2,155,Sc,1058,"UGC 150","MCG 0-1-48","CGCG 382-37",,,,,,,,
N,61,,1,*,1,1,CET,0,16,24,-,6,19,2,14,13,1,12.4,1.1,0.7,24,S0,1083,"NGC 61A","MCG -1-1-62","VV 742",,,,,,,,
N,61,,2,,1,1,CET,0,16,24.4,-,6,19,20,15.5,14.5,1,13.3,0.9,0.4,63,S0,1085,"NGC 61B","MCG -1-1-63","VV 742",,,,,,,,
N,61,A,,,7,1,CET,0,16,24,-,6,19,2,14,13,1,12.4,1.1,0.7,24,S0,1083,"NGC 61-1","MCG -1-1-62","VV 742",,,,,,,,
N,61,B,,,7,1,CET,0,16,24.4,-,6,19,20,15.5,14.5,1,13.3,0.9,0.4,63,S0,1085,"NGC 61-2","MCG -1-1-63","VV 742",,,,,,,,
